Roberto Duran,103,16,0,male,170cm,,orthodox,Panama,58.82%,
Carlos Mendoza,49,19,5,male,,None,orthodox,Panama,52.70%,
Manuel Jimenez,0,5,1,male,None,None,None,Dominican Republic,0%,
Juan Gondola,4,20,2,male,None,None,None,Panama,11.54%,
Eduardo Bartolome Morales,28,4,0,male,,None,orthodox,Argentina,68.75%,
Enrique Jacobo,0,1,0,male,None,None,None,Panama,0%,
Leroy Carghill,7,12,2,male,None,None,,Panama,4.76%,
Carlos Howard,0,2,1,male,None,None,None,Panama,0%,
George Foreman,76,5,0,male,191cm,,orthodox,USA,83.95%,
Don Waldhelm,5,5,2,male,,None,orthodox,USA,0%,
Jacinto Garcia,9,3,1,male,None,None,None,Panama,15.38%,
Adolfo Osses,30,55,9,male,None,None,None,,12.50%,
Sylvester Dullaire,8,8,1,male,None,None,None,USA,11.76%,
Serafin Garcia,13,38,10,male,None,None,None,Panama,4.92%,
Chuck Wepner,36,14,2,male,,None,None,USA,32.69%,
Johnny Carroll,12,21,2,male,None,None,None,USA,11.43%,
Roy Wallace,24,36,2,male,None,None,None,USA,20.97%,
Vernon Clay,7,7,0,male,None,None,None,USA,26.67%,
Roberto Davila,27,29,1,male,193cm,None,None,Peru,34.48%,
Leo Peterson,4,8,0,male,None,None,None,,16.67%,
Max Martinez,8,9,0,male,None,None,None,USA,5.88%,
Luis Patino,23,13,3,male,None,None,orthodox,Panama,23.08%,
Bob Hazelton,20,11,0,male,201cm,None,orthodox,USA,58.06%,
Levi Forte,20,28,3,male,185cm,None,orthodox,USA,19.61%,
Gary Wiler,13,22,3,male,None,None,orthodox,USA,28.95%,
Charley Polite,17,39,3,male,,None,None,USA,10.17%,
Jack O'Halloran,34,21,2,male,,None,orthodox,USA,29.82%,
Gregorio Peralta,98,9,9,male,183cm,196cm,orthodox,Argentina,51.72%,
James J Woody,16,14,1,male,183cm,None,southpaw,USA,9.68%,
Aaron Eastling,21,14,2,male,183cm,None,orthodox,USA,18.92%,
George Johnson,22,28,4,male,175cm,None,orthodox,USA,20.37%,
Ernesto Marcel,40,4,2,male,168cm,173cm,orthodox,Panama,50%,
Clemente Mucino,10,26,1,male,,None,None,Mexico,16.22%,
Roger Russell,12,18,2,male,185cm,None,orthodox,USA,12.50%,
George Chuvalo,73,18,2,male,,None,orthodox,Canada,68.82%,
Lou Bailey,19,44,5,male,183cm,None,None,USA,7.35%,
Boone Kirkman,36,6,0,male,None,None,orthodox,USA,59.52%,
Mel Turnbow,9,13,0,male,191cm,None,None,USA,9.09%,
Charlie Boston,10,11,1,male,None,None,None,USA,31.82%,
Jose Acosta,19,16,6,male,None,None,None,,24.39%,
Stamford Harris,6,19,2,male,None,None,None,Jamaica,7.41%,
Lloyd Marshall,70,25,4,male,178cm,189cm,orthodox,USA,36.36%,
Fermin Soto,11,18,1,male,None,None,None,Mexico,16.67%,
William Victor Scott,2,8,0,male,None,None,None,,18.18%,
Ollie Wilson,21,41,0,male,196cm,None,None,USA,20.97%,
Hiroshi Kobayashi,61,10,4,male,None,None,orthodox,Japan,13.33%,
Luis Faustino Pires,28,11,1,male,188cm,None,orthodox,Brazil,42.50%,
Joe Murphy Gordwin,1,15,1,male,None,None,None,USA,0%,
Clarence Boone,3,26,2,male,188cm,None,orthodox,USA,6.45%,
Ted Gullick,15,8,1,male,183cm,None,None,USA,58.33%,
Ken Buchanan,61,8,0,male,171cm,,orthodox,United Kingdom,39.13%,
Greg Potter,15,6,3,male,None,None,None,USA,4.17%,
Terry Sorrell,6,22,1,male,None,None,None,USA,10.34%,
Lupe Ramirez,21,16,0,male,None,None,None,,45.95%,
Jimmy Robertson,27,9,2,male,175cm,,orthodox,USA,34.21%,
Joe Frazier,32,4,1,male,182cm,185cm,orthodox,USA,72.97%,
Javier Ayala,26,26,1,male,None,None,None,,33.96%,
Larry Holmes,69,6,0,male,190cm,,orthodox,USA,58.67%,
Rodell Dupree,11,16,2,male,None,None,None,,13.79%,
Gerardo Ferrat,34,16,2,male,None,None,None,,44.23%,
